id,sweep_run_id,did,raw_hex,error_code,sequence
1341,7,0001,6200010000,,0
1342,7,0002,,7F2231,1
1343,7,0003,620003FFFA,,2
1344,7,0004,6200040001,,3
1345,7,0005,6200050F,,4
1346,7,0006,62000616,,5
1347,7,0007,,7F2231,6
1348,7,0008,,7F2231,7
1349,7,0009,,7F2231,8
1350,7,000A,,7F2231,9
1351,7,000B,,7F2231,10
1352,7,000C,,7F2231,11
1353,7,000D,,7F2231,12
1354,7,000E,,7F2231,13
1355,7,000F,62000F0000,,14
1356,7,0010,,7F2231,15
1357,7,0011,,7F2231,16
1358,7,0012,,7F2231,17
1359,7,0013,,7F2231,18
1360,7,0014,,7F2231,19
1361,7,0015,,7F2231,20
1362,7,0016,,7F2231,21
1363,7,0017,,7F2231,22
1364,7,0018,,7F2231,23
1365,7,0019,,7F2231,24
1366,7,001A,,7F2231,25
1367,7,001B,,7F2231,26
1368,7,001C,,7F2231,27
1369,7,001D,,7F2231,28
1370,7,001E,,7F2231,29
1371,7,001F,,7F2231,30
1372,7,0020,,7F2231,31
1373,7,0021,,7F2231,32
1374,7,0022,,7F2231,33
1375,7,0023,,7F2231,34
1376,7,0024,,7F2231,35
1377,7,0025,,7F2231,36
1378,7,0026,,7F2231,37
1379,7,0027,,7F2231,38
1380,7,0028,,7F2231,39
1381,7,0029,,7F2231,40
1382,7,002A,,7F2231,41
1383,7,002B,,7F2231,42
1384,7,002C,,7F2231,43
1385,7,002D,,7F2231,44
1386,7,002E,,7F2231,45
1387,7,002F,,7F2231,46
1388,7,0030,,7F2231,47
1389,7,0031,,7F2231,48
1390,7,0032,,7F2231,49
1391,7,0033,,7F2231,50
1392,7,0034,,7F2231,51
1393,7,0035,,7F2231,52
1394,7,0036,,7F2231,53
1395,7,0037,,7F2231,54
1396,7,0038,,7F2231,55
1397,7,0039,,7F2231,56
1398,7,003A,,7F2231,57
1399,7,003B,,7F2231,58
1400,7,003C,,7F2231,59
1401,7,003D,,7F2231,60
1402,7,003E,,7F2231,61
1403,7,003F,,7F2231,62
1404,7,0040,,7F2231,63
1405,7,0041,,7F2231,64
1406,7,0042,,7F2231,65
1407,7,0043,,7F2231,66
1408,7,0044,,7F2231,67
1409,7,0045,,7F2231,68
1410,7,0046,,7F2231,69
1411,7,0047,,7F2231,70
1412,7,0048,,7F2231,71
1413,7,0049,,7F2231,72
1414,7,004A,,7F2231,73
1415,7,004B,,7F2231,74
1416,7,004C,,7F2231,75
1417,7,004D,,7F2231,76
1418,7,004E,,7F2231,77
1419,7,004F,,7F2231,78
1420,7,0050,,7F2231,79
1421,7,0051,,7F2231,80
1422,7,0052,,7F2231,81
1423,7,0053,,7F2231,82
1424,7,0054,,7F2231,83
1425,7,0055,,7F2231,84
1426,7,0056,,7F2231,85
1427,7,0057,,7F2231,86
1428,7,0058,,7F2231,87
1429,7,0059,,7F2231,88
1430,7,005A,,7F2231,89
1431,7,005B,,7F2231,90
1432,7,005C,,7F2231,91
1433,7,005D,,7F2231,92
1434,7,005E,,7F2231,93
1435,7,005F,,7F2231,94
1436,7,0060,,7F2231,95
1437,7,0061,,7F2231,96
1438,7,0062,,7F2231,97
1439,7,0063,,7F2231,98
1440,7,0064,,7F2231,99
1441,7,0065,,7F2231,100
1442,7,0066,,7F2231,101
1443,7,0067,,7F2231,102
1444,7,0068,,7F2231,103
1445,7,0069,,7F2231,104
1446,7,006A,,7F2231,105
1447,7,006B,,7F2231,106
1448,7,006C,,7F2231,107
1449,7,006D,,7F2231,108
1450,7,006E,,7F2231,109
1451,7,006F,,7F2231,110
1452,7,0070,,7F2231,111
1453,7,0071,,7F2231,112
1454,7,0072,,7F2231,113
1455,7,0073,,7F2231,114
1456,7,0074,,7F2231,115
1457,7,0075,,7F2231,116
1458,7,0076,,7F2231,117
1459,7,0077,,7F2231,118
1460,7,0078,,7F2231,119
1461,7,0079,,7F2231,120
1462,7,007A,,7F2231,121
1463,7,007B,,7F2231,122
1464,7,007C,,7F2231,123
1465,7,007D,,7F2231,124
1466,7,007E,,7F2231,125
1467,7,007F,,7F2231,126
1468,7,0080,,7F2231,127
1469,7,0081,,7F2231,128
1470,7,0082,,7F2231,129
1471,7,0083,,7F2231,130
1472,7,0084,,7F2231,131
1473,7,0085,,7F2231,132
1474,7,0086,,7F2231,133
1475,7,0087,,7F2231,134
1476,7,0088,,7F2231,135
1477,7,0089,,7F2231,136
1478,7,008A,,7F2231,137
1479,7,008B,,7F2231,138
1480,7,008C,,7F2231,139
1481,7,008D,,7F2231,140
1482,7,008E,,7F2231,141
1483,7,008F,,7F2231,142
1484,7,0090,,7F2231,143
1485,7,0091,,7F2231,144
1486,7,0092,,7F2231,145
1487,7,0093,,7F2231,146
1488,7,0094,,7F2231,147
1489,7,0095,,7F2231,148
1490,7,0096,,7F2231,149
