id,monitor_session_id,sequence,ts_ms,can_id,payload_hex
1,1,0,0,798,056201A70CCC
2,1,1,0,798,056201AF0CCC
3,1,2,0,798,056201B70CCB
4,1,3,0,748,056200080000
5,1,4,1000,798,056200154270
6,1,5,1000,798,0562002B0CC9
7,1,6,1000,798,0562002D0CCC
