id,monitor_session_id,sequence,ts_ms,raw,parsed
172,6,0,0,STOPPED,f
173,6,1,1000,CAN ERROR,f
174,6,2,1000,CAN ERROR,f
175,6,3,1000,CAN ERROR,f
176,6,4,1000,CAN ERROR,f
177,6,5,1000,CAN ERROR,f
178,6,6,1000,CAN ERROR,f
179,6,7,1000,CAN ERROR,f
180,6,8,1000,CAN ERROR,f
181,6,9,1000,CAN ERROR,f
182,6,10,1000,CAN ERROR,f
183,6,11,1000,CAN ERROR,f
184,6,12,1000,CAN ERROR,f
185,6,13,1000,CAN ERROR,f
186,6,14,1000,CAN ERROR,f
187,6,15,1000,CAN ERROR,f
188,6,16,1000,CAN ERROR,f
189,6,17,1000,CAN ERROR,f
190,6,18,1000,CAN ERROR,f
191,6,19,1000,CAN ERROR,f
192,6,20,1000,CAN ERROR,f
193,6,21,1000,OK,f
194,6,22,1000,OK,f
195,6,23,2000,CAN ERROR,f
196,6,24,2000,OK,f
197,6,25,2000,OK,f
198,6,26,2000,CAN ERROR,f
199,6,27,2000,CAN ERROR,f
200,6,28,2000,CAN ERROR,f
