id,monitor_session_id,sequence,ts_ms,raw,parsed
109,5,0,0,OK,f
110,5,1,0,STOPPED,f
111,5,2,0,NO DATA,f
112,5,3,0,NO DATA,f
113,5,4,0,NO DATA,f
114,5,5,0,OK,f
115,5,6,0,OK,f
116,5,7,0,NO DATA,f
117,5,8,0,NO DATA,f
118,5,9,1000,NO DATA,f
119,5,10,1000,OK,f
120,5,11,1000,OK,f
121,5,12,1000,NO DATA,f
122,5,13,1000,NO DATA,f
123,5,14,1000,NO DATA,f
124,5,15,1000,NO DATA,f
125,5,16,1000,NO DATA,f
126,5,17,2000,NO DATA,f
127,5,18,2000,NO DATA,f
128,5,19,2000,NO DATA,f
129,5,20,2000,NO DATA,f
130,5,21,2000,OK,f
131,5,22,2000,OK,f
132,5,23,2000,NO DATA,f
133,5,24,2000,OK,f
134,5,25,2000,OK,f
135,5,26,2000,NO DATA,f
136,5,27,2000,NO DATA,f
137,5,28,3000,NO DATA,f
138,5,29,3000,OK,f
139,5,30,3000,OK,f
140,5,31,3000,NO DATA,f
141,5,32,3000,NO DATA,f
142,5,33,3000,NO DATA,f
143,5,34,3000,NO DATA,f
144,5,35,3000,NO DATA,f
145,5,36,3000,OK,f
146,5,37,3000,OK,f
147,5,38,4000,NO DATA,f
148,5,39,4000,OK,f
149,5,40,4000,OK,f
150,5,41,4000,NO DATA,f
151,5,42,4000,NO DATA,f
152,5,43,4000,NO DATA,f
153,5,44,4000,OK,f
154,5,45,4000,OK,f
155,5,46,4000,NO DATA,f
156,5,47,4000,OK,f
157,5,48,4000,OK,f
158,5,49,4000,NO DATA,f
159,5,50,5000,NO DATA,f
160,5,51,5000,NO DATA,f
161,5,52,5000,OK,f
162,5,53,5000,OK,f
163,5,54,5000,NO DATA,f
164,5,55,5000,NO DATA,f
165,5,56,5000,OK,f
166,5,57,5000,OK,f
167,5,58,5000,NO DATA,f
168,5,59,5000,NO DATA,f
169,5,60,6000,NO DATA,f
170,5,61,6000,NO DATA,f
171,5,62,6000,NO DATA,f
