id,monitor_session_id,sequence,ts_ms,raw,parsed
1,3,0,0,OK,f
2,3,1,0,STOPPED,f
3,3,2,0,NO DATA,f
4,3,3,0,NO DATA,f
5,3,4,0,NO DATA,f
6,3,5,0,NO DATA,f
7,3,6,1000,NO DATA,f
8,3,7,1000,NO DATA,f
9,3,8,1000,NO DATA,f
10,3,9,1000,NO DATA,f
11,3,10,1000,NO DATA,f
12,3,11,1000,NO DATA,f
13,3,12,1000,NO DATA,f
14,3,13,1000,NO DATA,f
15,3,14,2000,NO DATA,f
16,3,15,2000,NO DATA,f
17,3,16,2000,NO DATA,f
18,3,17,2000,NO DATA,f
19,3,18,2000,NO DATA,f
20,3,19,2000,NO DATA,f
21,3,20,2000,OK,f
22,3,21,2000,OK,f
23,3,22,2000,NO DATA,f
24,3,23,3000,OK,f
25,3,24,3000,OK,f
26,3,25,3000,NO DATA,f
27,3,26,3000,NO DATA,f
28,3,27,3000,NO DATA,f
