id,monitor_session_id,sequence,ts_ms,raw,parsed
240,8,0,1000,OK,f
241,8,1,1000,SEARCHING...,f
242,8,2,1000,STOPPED,f
243,8,3,1000,SEARCHING...,f
244,8,4,2000,STOPPED,f
245,8,5,2000,SEARCHING...,f
246,8,6,3000,STOPPED,f
247,8,7,3000,OK,f
248,8,8,3000,SEARCHING...,f
249,8,9,4000,STOPPED,f
250,8,10,5000,SEARCHING...,f
251,8,11,6000,STOPPED,f
252,8,12,6000,SEARCHING...,f
253,8,13,7000,STOPPED,f
254,8,14,8000,SEARCHING...,f
255,8,15,9000,STOPPED,f
256,8,16,10000,SEARCHING...,f
257,8,17,11000,STOPPED,f
258,8,18,11000,OK,f
259,8,19,11000,SEARCHING...,f
260,8,20,11000,STOPPED,f
261,8,21,12000,OK,f
262,8,22,12000,SEARCHING...,f
263,8,23,12000,STOPPED,f
264,8,24,13000,SEARCHING...,f
265,8,25,13000,STOPPED,f
266,8,26,13000,OK,f
267,8,27,14000,SEARCHING...,f
268,8,28,15000,STOPPED,f
269,8,29,15000,SEARCHING...,f
