id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
14202,14,2026-05-29 19:44:15+00,790,0004,6200040003,,1
14203,14,2026-05-29 19:44:16+00,790,0005,62000526,,1
14204,14,2026-05-29 19:44:14+00,790,0006,62000605E7,,1
14205,14,2026-05-29 19:44:19+00,790,0007,62000705E7,,1
14206,14,2026-05-29 19:44:14+00,790,0008,62000801C1,,1
14207,14,2026-05-29 19:44:17+00,790,0009,6200091354,,1
14208,14,2026-05-29 19:44:18+00,790,000A,62000A03C2,,1
14209,14,2026-05-29 19:44:12+00,790,0015,62001542B9,,1
14210,14,2026-05-29 19:44:13+00,790,0B00,620B00118D,,1
14211,14,2026-05-29 19:44:13+00,790,1FFD,621FFD0EE23B09,,1
14212,14,2026-05-29 19:44:22+00,790,0004,6200040003,,2
14213,14,2026-05-29 19:44:23+00,790,0005,62000526,,2
14214,14,2026-05-29 19:44:21+00,790,0006,62000605E7,,2
14215,14,2026-05-29 19:44:26+00,790,0007,62000705E7,,2
14216,14,2026-05-29 19:44:20+00,790,0008,62000801C1,,2
14217,14,2026-05-29 19:44:24+00,790,0009,6200091354,,2
14218,14,2026-05-29 19:44:25+00,790,000A,62000A03C2,,2
14219,14,2026-05-29 19:44:19+00,790,0015,62001542C2,,2
14220,14,2026-05-29 19:44:20+00,790,0B00,620B00118D,,2
14221,14,2026-05-29 19:44:19+00,790,1FFD,621FFD0EE23B09,,2
14222,14,2026-05-29 19:44:29+00,790,0004,6200040003,,3
14223,14,2026-05-29 19:44:30+00,790,0005,62000526,,3
14224,14,2026-05-29 19:44:28+00,790,0006,62000605E7,,3
14225,14,2026-05-29 19:44:33+00,790,0007,62000705E7,,3
14226,14,2026-05-29 19:44:27+00,790,0008,62000801C1,,3
14227,14,2026-05-29 19:44:31+00,790,0009,6200091354,,3
14228,14,2026-05-29 19:44:32+00,790,000A,62000A03C2,,3
14229,14,2026-05-29 19:44:26+00,790,0015,62001542C2,,3
14230,14,2026-05-29 19:44:27+00,790,0B00,620B00118D,,3
14231,14,2026-05-29 19:44:26+00,790,1FFD,621FFD0EE23B09,,3
14232,14,2026-05-29 19:44:36+00,790,0004,6200040003,,4
14233,14,2026-05-29 19:44:37+00,790,0005,62000526,,4
14234,14,2026-05-29 19:44:35+00,790,0006,62000605E7,,4
14235,14,2026-05-29 19:44:40+00,790,0007,62000705E7,,4
14236,14,2026-05-29 19:44:34+00,790,0008,62000801C1,,4
14237,14,2026-05-29 19:44:38+00,790,0009,6200091354,,4
14238,14,2026-05-29 19:44:39+00,790,000A,62000A03C2,,4
14239,14,2026-05-29 19:44:33+00,790,0015,62001542B9,,4
14240,14,2026-05-29 19:44:34+00,790,0B00,620B00118D,,4
14241,14,2026-05-29 19:44:33+00,790,1FFD,621FFD0EE23B09,,4
14242,14,2026-05-29 19:44:43+00,790,0004,6200040003,,5
14243,14,2026-05-29 19:44:44+00,790,0005,62000526,,5
14244,14,2026-05-29 19:44:42+00,790,0006,62000605E7,,5
14245,14,2026-05-29 19:44:46+00,790,0007,62000705E7,,5
14246,14,2026-05-29 19:44:41+00,790,0008,62000801C1,,5
14247,14,2026-05-29 19:44:45+00,790,0009,6200091354,,5
14248,14,2026-05-29 19:44:46+00,790,000A,62000A03C2,,5
14249,14,2026-05-29 19:44:40+00,790,0015,62001542B6,,5
14250,14,2026-05-29 19:44:41+00,790,0B00,620B00118E,,5
14251,14,2026-05-29 19:44:40+00,790,1FFD,621FFD0EE23B09,,5
14252,14,2026-05-29 19:44:50+00,790,0004,6200040003,,6
14253,14,2026-05-29 19:44:51+00,790,0005,62000526,,6
14254,14,2026-05-29 19:44:49+00,790,0006,62000605E7,,6
14255,14,2026-05-29 19:44:53+00,790,0007,62000705E7,,6
14256,14,2026-05-29 19:44:48+00,790,0008,62000801C1,,6
14257,14,2026-05-29 19:44:52+00,790,0009,6200091354,,6
14258,14,2026-05-29 19:44:52+00,790,000A,62000A03C2,,6
14259,14,2026-05-29 19:44:47+00,790,0015,62001542B6,,6
14260,14,2026-05-29 19:44:47+00,790,0B00,620B00118E,,6
14261,14,2026-05-29 19:44:47+00,790,1FFD,621FFD0EE23B09,,6
14262,14,2026-05-29 19:44:57+00,790,0004,6200040003,,7
14263,14,2026-05-29 19:44:58+00,790,0005,62000526,,7
14264,14,2026-05-29 19:44:56+00,790,0006,62000605E7,,7
14265,14,2026-05-29 19:45:00+00,790,0007,62000705E7,,7
14266,14,2026-05-29 19:44:55+00,790,0008,62000801C1,,7
14267,14,2026-05-29 19:44:58+00,790,0009,6200091354,,7
14268,14,2026-05-29 19:44:59+00,790,000A,62000A03C2,,7
14269,14,2026-05-29 19:44:54+00,790,0015,62001542B1,,7
14270,14,2026-05-29 19:44:54+00,790,0B00,620B00118F,,7
14271,14,2026-05-29 19:44:54+00,790,1FFD,621FFD0EE23B09,,7
14272,14,2026-05-29 19:45:04+00,790,0004,6200040003,,8
14273,14,2026-05-29 19:45:04+00,790,0005,62000526,,8
14274,14,2026-05-29 19:45:03+00,790,0006,62000605E7,,8
14275,14,2026-05-29 19:45:07+00,790,0007,62000705E7,,8
14276,14,2026-05-29 19:45:02+00,790,0008,62000801C1,,8
14277,14,2026-05-29 19:45:05+00,790,0009,6200091354,,8
14278,14,2026-05-29 19:45:06+00,790,000A,62000A03C2,,8
