id,session_id,timestamp,ecu_tx,did,raw_hex,error_code,cycle
124,4,2026-05-25 19:55:43+00,791,000A,62000A00000006,,1
125,4,2026-05-25 19:55:39+00,791,0038,6200380324,,1
126,4,2026-05-25 19:55:39+00,791,0039,6200390647,,1
127,4,2026-05-25 19:55:41+00,791,0046,62004600000000,,1
128,4,2026-05-25 19:55:39+00,791,004A,62004A025901FF,,1
129,4,2026-05-25 19:55:40+00,791,004B,62004B018A0294,,1
130,4,2026-05-25 19:55:42+00,791,004C,62004C00000000,,1
131,4,2026-05-25 19:55:47+00,791,000A,62000A00000006,,2
132,4,2026-05-25 19:55:43+00,791,0038,6200380324,,2
133,4,2026-05-25 19:55:43+00,791,0039,6200390646,,2
134,4,2026-05-25 19:55:45+00,791,0046,62004600000000,,2
135,4,2026-05-25 19:55:43+00,791,004A,62004A025901FF,,2
136,4,2026-05-25 19:55:44+00,791,004B,62004B018A0294,,2
137,4,2026-05-25 19:55:46+00,791,004C,62004C00000000,,2
138,4,2026-05-25 19:55:51+00,791,000A,62000A00000006,,3
139,4,2026-05-25 19:55:47+00,791,0038,6200380324,,3
140,4,2026-05-25 19:55:47+00,791,0039,6200390647,,3
141,4,2026-05-25 19:55:49+00,791,0046,62004600000000,,3
142,4,2026-05-25 19:55:48+00,791,004A,62004A025901FF,,3
143,4,2026-05-25 19:55:48+00,791,004B,62004B018A0294,,3
144,4,2026-05-25 19:55:50+00,791,004C,62004C00000000,,3
145,4,2026-05-25 19:55:55+00,791,000A,62000A00000006,,4
146,4,2026-05-25 19:55:51+00,791,0038,6200380325,,4
147,4,2026-05-25 19:55:52+00,791,0039,6200390646,,4
148,4,2026-05-25 19:55:53+00,791,0046,62004600000000,,4
149,4,2026-05-25 19:55:52+00,791,004A,62004A025901FF,,4
150,4,2026-05-25 19:55:53+00,791,004B,62004B018A0294,,4
151,4,2026-05-25 19:55:54+00,791,004C,62004C00000000,,4
152,4,2026-05-25 19:55:59+00,791,000A,62000A00000006,,5
153,4,2026-05-25 19:55:55+00,791,0038,6200380324,,5
154,4,2026-05-25 19:55:56+00,791,0039,6200390646,,5
155,4,2026-05-25 19:55:58+00,791,0046,62004600000000,,5
156,4,2026-05-25 19:55:56+00,791,004A,62004A025901FF,,5
157,4,2026-05-25 19:55:57+00,791,004B,62004B018A0294,,5
158,4,2026-05-25 19:55:59+00,791,004C,62004C00000000,,5
159,4,2026-05-25 19:56:04+00,791,000A,62000A00000006,,6
160,4,2026-05-25 19:56:00+00,791,0038,6200380325,,6
161,4,2026-05-25 19:56:00+00,791,0039,6200390646,,6
162,4,2026-05-25 19:56:02+00,791,0046,62004600000000,,6
163,4,2026-05-25 19:56:00+00,791,004A,62004A025901FF,,6
164,4,2026-05-25 19:56:01+00,791,004B,62004B018A0294,,6
165,4,2026-05-25 19:56:03+00,791,004C,62004C00000000,,6
166,4,2026-05-25 19:56:08+00,791,000A,62000A00000006,,7
167,4,2026-05-25 19:56:04+00,791,0038,6200380325,,7
168,4,2026-05-25 19:56:04+00,791,0039,6200390646,,7
169,4,2026-05-25 19:56:06+00,791,0046,62004600000000,,7
170,4,2026-05-25 19:56:05+00,791,004A,62004A025901FF,,7
171,4,2026-05-25 19:56:05+00,791,004B,62004B018A0294,,7
172,4,2026-05-25 19:56:07+00,791,004C,62004C00000000,,7
173,4,2026-05-25 19:56:12+00,791,000A,62000A00000006,,8
174,4,2026-05-25 19:56:08+00,791,0038,6200380324,,8
175,4,2026-05-25 19:56:08+00,791,0039,6200390646,,8
176,4,2026-05-25 19:56:10+00,791,0046,62004600000000,,8
177,4,2026-05-25 19:56:09+00,791,004A,62004A025901FF,,8
178,4,2026-05-25 19:56:09+00,791,004B,62004B018A0294,,8
179,4,2026-05-25 19:56:11+00,791,004C,62004C00000000,,8
180,4,2026-05-25 19:56:16+00,791,000A,62000A00000006,,9
181,4,2026-05-25 19:56:12+00,791,0038,6200380324,,9
182,4,2026-05-25 19:56:13+00,791,0039,6200390647,,9
183,4,2026-05-25 19:56:15+00,791,0046,62004600000000,,9
184,4,2026-05-25 19:56:13+00,791,004A,62004A025901FF,,9
185,4,2026-05-25 19:56:14+00,791,004B,62004B018A0294,,9
186,4,2026-05-25 19:56:15+00,791,004C,62004C00000000,,9
187,4,2026-05-25 19:56:21+00,791,000A,62000A00000006,,10
188,4,2026-05-25 19:56:17+00,791,0038,6200380323,,10
189,4,2026-05-25 19:56:17+00,791,0039,6200390646,,10
190,4,2026-05-25 19:56:19+00,791,0046,62004600000000,,10
191,4,2026-05-25 19:56:17+00,791,004A,62004A025901FF,,10
192,4,2026-05-25 19:56:18+00,791,004B,62004B018A0294,,10
193,4,2026-05-25 19:56:20+00,791,004C,62004C00000000,,10
194,4,2026-05-25 19:56:25+00,791,000A,62000A00000006,,11
195,4,2026-05-25 19:56:21+00,791,0038,6200380324,,11
196,4,2026-05-25 19:56:21+00,791,0039,6200390646,,11
197,4,2026-05-25 19:56:23+00,791,0046,62004600000000,,11
198,4,2026-05-25 19:56:22+00,791,004A,62004A025901FF,,11
199,4,2026-05-25 19:56:22+00,791,004B,62004B018A0294,,11
200,4,2026-05-25 19:56:24+00,791,004C,62004C00000000,,11
201,4,2026-05-25 19:56:29+00,791,000A,62000A00000006,,12
202,4,2026-05-25 19:56:25+00,791,0038,6200380324,,12
203,4,2026-05-25 19:56:25+00,791,0039,6200390647,,12
204,4,2026-05-25 19:56:27+00,791,0046,62004600000000,,12
205,4,2026-05-25 19:56:26+00,791,004A,62004A025901FF,,12
206,4,2026-05-25 19:56:26+00,791,004B,62004B018A0294,,12
207,4,2026-05-25 19:56:28+00,791,004C,62004C00000000,,12
208,4,2026-05-25 19:56:33+00,791,000A,62000A00000006,,13
